A̱o,Trimestre,Ingresos (miles de pesos),Periodo,Ingresos_Anterior,KPI_Variacion_Ingresos,Cumplimiento_KPI
2014,1,2984054.20878,Ene-Mar 2014,,0.0,False
2014,2,3270816.20391,Abr-Jun 2014,2984054.20878,9.609811855503787,True
2014,3,3478637.74279962,Jul-Sept 2014,3270816.20391,6.353812807983093,True
2014,4,3950440.78037,Oct-Dic 2014,3478637.74279962,13.562867779117205,True
2015,1,4876385.31507,Ene-Mar 2015,3950440.78037,23.43901823060047,True
2015,2,4701790.71966,Abr-Jun 2015,4876385.31507,-3.580410163044988,False
2015,3,5153738.88436,Jul-Sept 2015,4701790.71966,9.612256088094906,True
2015,4,5376899.206,Oct-Dic 2015,5153738.88436,4.330066513792988,True
2016,1,5936844.8865,Ene-Mar 2016,5376899.206,10.413914396519928,True
2016,2,6534240.5975,Abr-Jun 2016,5936844.8865,10.0625116946956,True
2016,3,6912441.53885665,Jul-Sept 2016,6534240.5975,5.7879861586570485,True
2016,4,7483980.39327901,Oct-Dic 2016,6912441.53885665,8.268263119616861,True
2017,1,8701201.42137,Ene-Mar 2017,7483980.39327901,16.264353514128853,True
2017,2,9678646.92829,Abr-Jun 2017,8701201.42137,11.23345454938454,True
2017,3,10065997.86215,Jul-Sept 2017,9678646.92829,4.002118650777526,True
2017,4,11226127.38858,Oct-Dic 2017,10065997.86215,11.525231202286458,True
2018,1,13171459.2308934,Ene-Mar 2018,11226127.38858,17.32861008055482,True
2018,2,14319467.4607138,Abr-Jun 2018,13171459.2308934,8.715877335198895,True
2018,3,15410980.692583,Jul-Sept 2018,14319467.4607138,7.622582577626042,True
2018,4,16637686.5890096,Oct-Dic 2018,15410980.692583,7.9599470072465195,True
2019,1,20207413.7708524,Ene-Mar 2019,16637686.5890096,21.45567031056389,True
2019,2,20743117.6940061,Abr-Jun 2019,20207413.7708524,2.6510266441240935,False
2019,3,21652748.4446425,Jul-Sept 2019,20743117.6940061,4.385217131074006,True
2019,4,24169250.6990153,Oct-Dic 2019,21652748.4446425,11.622091582537436,True
2020,1,29946216.4520491,Ene-Mar 2020,24169250.6990153,23.90213012796943,True
2020,2,32102475.9914636,Abr-Jun 2020,29946216.4520491,7.200440639528466,True
2020,3,31997444.5306992,Jul-Sept 2020,32102475.9914636,-0.32717557609054726,False
2020,4,33539702.7163118,Oct-Dic 2020,31997444.5306992,4.819941742950493,True
2021,1,36676371.3623924,Ene-Mar 2021,33539702.7163118,9.352106286127292,True
2021,2,38239666.6335425,Abr-Jun 2021,36676371.3623924,4.262404412103551,True
2021,3,42999944.2928225,Jul-Sept 2021,38239666.6335425,12.448533364316656,True
2021,4,45467887.1650125,Oct-Dic 2021,42999944.2928225,5.739409463844223,True
2022,1,55219313.0146503,Ene-Mar 2022,45467887.1650125,21.446841843008517,True
2022,2,60419500.6232803,Abr-Jun 2022,55219313.0146503,9.417334850309228,True
2022,3,64086784.3305304,Jul-Sept 2022,60419500.6232803,6.069702115076819,True
2022,4,72443482.9891497,Oct-Dic 2022,64086784.3305304,13.039659808049143,True
2023,2,118060280.28,Jun-Mar 2023,72443482.9891497,62.96880741871922,True
2023,3,133106593.41,Jul-Sept 2023,118060280.28,12.744602244137578,True
2023,4,167376014.8,Oct-Dic 2023,133106593.41,25.74584812973317,True
2024,1,346198986.13,Ene-Mar 2024,167376014.8,106.83906624475324,True
2024,2,442032166.69,Abr-Jun 2024,346198986.13,27.681531257868564,True
